epoch,train_loss,train_bce,train_dice,train_cldice,val_loss,val_bce,val_dice,val_cldice,lr,seconds
1,2.6826344927152,0.7557688524325689,0.9692489733298619,0.9576166560252507,2.4772173166275024,0.5764219611883163,0.9667392075061798,0.9340561479330063,0.0001,29.447614669799805
2,2.3487714370091757,0.5128329689304034,0.9651736289262771,0.8707648386557897,2.1668679118156433,0.43447737768292427,0.9591395258903503,0.7732509970664978,0.0001,30.22290802001953
3,2.1559140642484027,0.4020194639762243,0.9555686881144841,0.7983258932828903,1.9967392832040787,0.33132775127887726,0.9506249353289604,0.7147865667939186,0.0001,32.40103054046631
4,2.0730550209681193,0.3411538655559222,0.9497107456127802,0.7821903844674428,1.9153175503015518,0.2908943332731724,0.940568171441555,0.6838550567626953,0.0001,38.82623624801636
5,1.9968843698501586,0.2963650996486346,0.9413296947876613,0.7591895699501038,1.8711102604866028,0.2603947576135397,0.9277039468288422,0.6830115467309952,0.0001,39.3706738948822
6,1.9447333792845407,0.26139580433567366,0.9350216229756673,0.7483159631490708,1.7772514671087265,0.22922173328697681,0.9179118871688843,0.63011784106493,0.0001,40.74913311004639
7,1.8942093888918559,0.24045733387271565,0.9259103675683339,0.7278416931629181,1.6563628613948822,0.20241561718285084,0.9018364325165749,0.552110843360424,0.0001,42.15595316886902
8,1.8544154485066733,0.21346948246161143,0.9194029221932093,0.7215430547793706,1.6493959873914719,0.17947089113295078,0.8995134457945824,0.5704116597771645,0.0001,44.26716756820679
9,1.8058124383290608,0.1942407615482807,0.9086008141438167,0.7029708613952,1.6344309896230698,0.16212053131312132,0.8885008618235588,0.5838095992803574,0.0001,43.51514196395874
10,1.7845430235068003,0.17585153356194497,0.9033070951700211,0.7053843855857849,1.5400218218564987,0.14080755040049553,0.8720024228096008,0.5272118449211121,0.0001,43.948275566101074
11,1.7340561946233113,0.16667091647783916,0.8936191707849502,0.6737661023934682,1.573466718196869,0.13816826418042183,0.869093507528305,0.5662049502134323,0.0001,43.191757678985596
12,1.7151953399181366,0.14912641768654186,0.8844774514436722,0.6815914760033289,1.6048890501260757,0.1178381908684969,0.8633216246962547,0.6237292215228081,0.0001,42.57474112510681
13,1.675090754032135,0.1398123304049174,0.8741658459107081,0.661112579703331,1.5364406257867813,0.11648157611489296,0.8417050540447235,0.5782540217041969,0.0001,44.07597279548645
14,1.6635372340679169,0.12693121669193108,0.8690652330716451,0.6675407856702804,1.5038889050483704,0.10676299454644322,0.8433031737804413,0.5538227558135986,0.0001,45.9488091468811
15,1.616251273949941,0.12603497753540674,0.8556267529726028,0.6345895459254582,1.4733718484640121,0.10597990732640028,0.8131398111581802,0.5542521476745605,0.0001,45.67954206466675
16,1.6108429551124572,0.11701904286940892,0.8496027618646622,0.6442211528619131,1.5030212700366974,0.10468212747946382,0.8209966942667961,0.5773424208164215,0.0001,46.43785905838013
17,1.5950081944465637,0.11394498758018017,0.8412806351979574,0.6397825707991918,1.432622492313385,0.0867130164988339,0.7985976412892342,0.5473118424415588,0.0001,46.44327235221863
18,1.5540126283963522,0.10796504877507687,0.8329037358363469,0.6131438493728638,1.5037724375724792,0.07614475768059492,0.8137553408741951,0.6138723343610764,0.0001,44.833089113235474
19,1.5697894791762035,0.10722601873179277,0.8314100752274195,0.6311533868312835,1.534497231245041,0.0942442521918565,0.8043681308627129,0.6358848512172699,0.0001,46.02519512176514
20,1.5464856406052907,0.10270920147498448,0.8237400184075038,0.6200364182392756,1.5015804469585419,0.07757967920042574,0.7988223358988762,0.6251783967018127,0.0001,46.04811668395996
21,1.5290768484274546,0.10035503450781107,0.8154741624991099,0.6132476449012756,1.500665321946144,0.08231857232749462,0.7961312234401703,0.6222155019640923,5e-05,45.838059186935425
22,1.5102162063121796,0.09845636176566283,0.8121663908163707,0.5995934585730235,1.460376188158989,0.07741977693513036,0.7828299477696419,0.6001264825463295,5e-05,43.58611440658569
23,1.4865610281626382,0.0946852025265495,0.8034493019183476,0.5884265313545863,1.4076061695814133,0.07763202697969973,0.7649456784129143,0.5650284737348557,5e-05,44.78176665306091
24,1.4854421615600586,0.09546658011774221,0.8025455375512441,0.5874300529559453,1.3752093613147736,0.07099740160629153,0.7566216737031937,0.5475903004407883,5e-05,45.41990947723389
25,1.464325745900472,0.09509390418728193,0.7960735350847244,0.5731583098570506,1.4762817025184631,0.07685034768655896,0.777605339884758,0.6218260005116463,5e-05,43.27032256126404
26,1.463852592309316,0.0929469395428896,0.7924504419167836,0.5784552117188771,1.4731720983982086,0.07504571205936372,0.7766241207718849,0.6215022653341293,5e-05,43.08048176765442
27,1.4649681429068246,0.0918686439593633,0.7899075319369634,0.5831919699907303,1.442238062620163,0.07988900202326477,0.7640846818685532,0.5982643738389015,5e-05,43.71771025657654
28,1.4492843786875407,0.09245835542678833,0.7897719164689382,0.5670541018247605,1.4750514179468155,0.08299473905935884,0.7731221541762352,0.6189345493912697,2.5e-05,43.1761839389801
29,1.4372489869594574,0.09216747420529524,0.788445520401001,0.5566359877586364,1.4354784786701202,0.07573708007112145,0.7568826302886009,0.6028587818145752,2.5e-05,43.22254180908203
30,1.4142989933490753,0.0886294266829888,0.7792982071638107,0.5463713536659877,1.4839961379766464,0.07606737641617656,0.7703042775392532,0.6376244872808456,2.5e-05,43.655412673950195
