epoch,train_loss,train_bce,train_dice,train_cldice,val_loss,val_bce,val_dice,val_cldice,lr,seconds
1,2.3404319485028586,0.4271076127886772,0.9627264469861985,0.9505978773037592,2.157549351453781,0.29628173261880875,0.9572907462716103,0.9039768725633621,0.0001,31.99846076965332
2,2.0872669716676078,0.2785014775892099,0.9481622139612834,0.8606032868226369,1.9578914195299149,0.23166647739708424,0.9346273839473724,0.7915975898504257,0.0001,30.929550647735596
3,1.9504502971967062,0.21730814774831136,0.932456910610199,0.8006852338711421,1.8119746446609497,0.17750403098762035,0.9093061834573746,0.725164420902729,0.0001,34.36329436302185
4,1.877406378587087,0.17656906271974246,0.9199078579743704,0.7809294482072194,1.7621712684631348,0.15798673126846552,0.896033376455307,0.7081511467695236,0.0001,42.39857816696167
5,1.822940367460251,0.15634250417351722,0.9024083018302917,0.7641895681619644,1.811981439590454,0.13387524988502264,0.9059053659439087,0.7722008377313614,0.0001,45.10795021057129
6,1.7805140376091004,0.14062544057766596,0.8912752966086069,0.7486132929722468,1.6335986405611038,0.130288808606565,0.861636757850647,0.6416730806231499,0.0001,45.53302836418152
7,1.7346367955207824,0.13331435608367126,0.8763986498117446,0.7249237954616546,1.588341474533081,0.10158883593976498,0.8503390997648239,0.6364135593175888,0.0001,46.049076318740845
8,1.7269906838734945,0.12196827170749505,0.8718044439951579,0.7332179705301921,1.4845708906650543,0.10218256711959839,0.8236473128199577,0.5587410032749176,0.0001,45.412307262420654
9,1.7075023929278055,0.11623180458943048,0.8605106314023335,0.7307599594195684,1.5403882712125778,0.10846989881247282,0.8144131004810333,0.61750528216362,0.0001,45.73641490936279
10,1.661480075120926,0.1106993059317271,0.8484458476305008,0.7023349304993948,1.46277716755867,0.08506013872101903,0.8027697950601578,0.5749472081661224,0.0001,45.477423667907715
11,1.660104654232661,0.10761531094710032,0.8452870825926463,0.7072022666533788,1.4390260726213455,0.08742793835699558,0.8083024397492409,0.5432957038283348,0.0001,45.068599462509155
12,1.626400093237559,0.10150369827946028,0.8401872754096985,0.6847091346979142,1.5617737025022507,0.07304506399668753,0.82152309268713,0.6672055423259735,0.0001,46.21098613739014
13,1.6016046663125356,0.10156169893840948,0.8306711862484614,0.6693717877070109,1.561867892742157,0.0880564246326685,0.8051788583397865,0.6686326116323471,0.0001,45.57607936859131
14,1.6194966892401377,0.1064935315400362,0.8276341686646144,0.6853689819574356,1.4467262476682663,0.08457419741898775,0.7800293639302254,0.5821226611733437,0.0001,45.8575234413147
15,1.6128765841325123,0.09713405892252922,0.8212362915277481,0.6945062359174092,1.4166254550218582,0.07426251820288599,0.7677410989999771,0.5746218487620354,0.0001,45.87690877914429
16,1.605607767899831,0.09879107512533665,0.823880190650622,0.6829364995161692,1.8145472556352615,0.11034333053976297,0.8549633845686913,0.8492405265569687,0.0001,45.820865869522095
17,1.589732939004898,0.09565161224454641,0.8158002416292827,0.6782810767491658,1.3578084856271744,0.07681680331006646,0.7600348442792892,0.5209568291902542,0.0001,46.319926023483276
18,1.542240132888158,0.09352649264037609,0.80393186211586,0.644781768321991,1.514690563082695,0.080213031033054,0.767190732061863,0.6672867685556412,0.0001,45.694491386413574
19,1.5468635320663453,0.09300538245588541,0.804517251253128,0.6493409057458241,1.5165290832519531,0.08748411829583347,0.776862807571888,0.6521821692585945,0.0001,46.246020793914795
20,1.54133220911026,0.09239809649686019,0.8016804357369741,0.6472536732753118,1.4427938014268875,0.07772147771902382,0.7590810060501099,0.6059913039207458,0.0001,46.280123233795166
21,1.5070492307345071,0.09082633350044489,0.7964205622673035,0.6198023388783137,1.4211257100105286,0.06600957037881017,0.7500846832990646,0.6050314232707024,5e-05,45.414082050323486
22,1.4914326707522074,0.09074814841151238,0.7866451332966486,0.6140393863121668,1.4355176091194153,0.07232831988949329,0.7507895976305008,0.6123996824026108,5e-05,44.89588117599487
23,1.472764511903127,0.08589654614528021,0.7825618276993433,0.6043061355749766,1.4279996752738953,0.06738876842427999,0.7535144239664078,0.6070964932441711,5e-05,44.87858843803406
24,1.4684761305650076,0.08613805243124564,0.7774823168913524,0.6048557649056117,1.438699722290039,0.07232294196728617,0.7564226910471916,0.6099540963768959,5e-05,45.57225060462952
25,1.4643058677514393,0.08738638243327539,0.7741599251826604,0.6027595678965251,1.4918195754289627,0.07561966078355908,0.7725847437977791,0.643615186214447,2.5e-05,46.0280499458313
26,1.4271999130646387,0.08691749839733044,0.7669601202011108,0.5733222911755244,1.4729147404432297,0.07320067239925265,0.7620804086327553,0.6376336589455605,2.5e-05,45.91358208656311
27,1.420234857996305,0.08570508286356926,0.7664756774902344,0.5680540959040324,1.3806470483541489,0.07526055700145662,0.7342197075486183,0.5711667910218239,2.5e-05,46.02678847312927
28,1.4103881339232127,0.0847588887438178,0.763703245917956,0.561925999323527,1.4066778868436813,0.07088029803708196,0.7416050434112549,0.5941925123333931,2.5e-05,45.63684678077698
29,1.3933312833309173,0.08372634115318457,0.76219395895799,0.5474109758933385,1.4365701526403427,0.07144684554077685,0.7457899004220963,0.6193334385752678,1.25e-05,46.00329828262329
30,1.3789812763532003,0.08394868553926547,0.7554297039906184,0.5396028876304626,1.4555370211601257,0.07456645579077303,0.7496560961008072,0.6313144788146019,1.25e-05,46.188031911849976
